## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=ref/PICARDref/refFlat.ensembl.txt STRAND_SPECIFICITY=NONE MINIMUM_LENGTH=500 INPUT=results/bam/6634-TH-18_Aligned.sortedByCoord.out.bam OUTPUT=results/metrics/6634-TH-18_Aligned_picard.tsv ASSUME_SORTED=true QUIET=true    RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] END_BIAS_BASES=100 STOP_AFTER=0 VERBOSITY=INFO VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 24 02:59:30 UTC 2021

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9055579866	8970899237		4121187664	3099505661	1471891726	278314186	0	0	0	127396	21167264	1753729	0.005983	0.994017		0.459395	0.345507	0.164074	0.031024	0.804902	0.797375	0	0.620861	0.36772	0.175071	1.92897			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.079586
1	0.190054
2	0.410078
3	0.612531
4	0.783409
5	0.928885
6	1.051519
7	1.148679
8	1.219217
9	1.264225
10	1.291659
11	1.322625
12	1.349565
13	1.355536
14	1.375068
15	1.384513
16	1.384483
17	1.385075
18	1.388202
19	1.383187
20	1.369607
21	1.359223
22	1.365786
23	1.385282
24	1.397136
25	1.401488
26	1.40637
27	1.386323
28	1.37062
29	1.355071
30	1.323374
31	1.30523
32	1.298831
33	1.301244
34	1.289425
35	1.284647
36	1.281134
37	1.272916
38	1.257844
39	1.245469
40	1.23883
41	1.22622
42	1.211981
43	1.205771
44	1.19182
45	1.179874
46	1.162107
47	1.146978
48	1.142891
49	1.145948
50	1.144286
51	1.142076
52	1.129029
53	1.106555
54	1.080904
55	1.059858
56	1.03828
57	1.022382
58	1.006101
59	0.99472
60	0.98502
61	0.975629
62	0.967314
63	0.962539
64	0.950533
65	0.946545
66	0.943084
67	0.93489
68	0.925165
69	0.906457
70	0.891923
71	0.880776
72	0.868326
73	0.862064
74	0.85498
75	0.847602
76	0.835752
77	0.828806
78	0.826627
79	0.833511
80	0.823389
81	0.790972
82	0.76505
83	0.749002
84	0.737058
85	0.729444
86	0.714442
87	0.695313
88	0.685624
89	0.669528
90	0.642428
91	0.603229
92	0.558495
93	0.515513
94	0.469568
95	0.4121
96	0.348931
97	0.284696
98	0.199665
99	0.110256
100	0.047156

